Date,Price
11-10-2018,70.97
12-10-2018,71.41
15-10-2018,71.84
16-10-2018,71.93
17-10-2018,69.63
18-10-2018,68.63
19-10-2018,69.16
22-10-2018,69.25
23-10-2018,66.49
24-10-2018,66.56
25-10-2018,67.25
26-10-2018,67.58
29-10-2018,67
30-10-2018,66.18
31-10-2018,65.31
01-11-2018,63.67
02-11-2018,63.12
05-11-2018,63.12
06-11-2018,62.16
07-11-2018,61.69
08-11-2018,60.71
09-11-2018,60.19
12-11-2018,59.85
13-11-2018,55.63
14-11-2018,56.16
15-11-2018,56.45
16-11-2018,56.49
19-11-2018,57.16
20-11-2018,53.39
21-11-2018,54.41
26-11-2018,51.46
27-11-2018,51.31
28-11-2018,50.06
29-11-2018,51.46
30-11-2018,50.78
03-12-2018,52.98
04-12-2018,53.21
05-12-2018,52.64
06-12-2018,51.54
07-12-2018,52.76
10-12-2018,51.07
11-12-2018,51.65
12-12-2018,51.04
13-12-2018,52.69
14-12-2018,51.26
17-12-2018,49.8
18-12-2018,46.12
19-12-2018,47.96
20-12-2018,45.64
21-12-2018,45.38
26-12-2018,46.04
27-12-2018,44.48
28-12-2018,45.15
02-01-2019,46.31
03-01-2019,46.92
04-01-2019,47.76
07-01-2019,48.27
08-01-2019,49.58
09-01-2019,52.19
10-01-2019,52.42
11-01-2019,51.44
14-01-2019,50.31
15-01-2019,51.8
16-01-2019,52.08
17-01-2019,51.83
18-01-2019,53.6
22-01-2019,52.59
23-01-2019,52.44
24-01-2019,52.94
25-01-2019,53.53
28-01-2019,51.79
29-01-2019,53.07
30-01-2019,54.18
31-01-2019,53.84
01-02-2019,55.29
04-02-2019,54.57
05-02-2019,53.69
06-02-2019,53.94
07-02-2019,52.68
08-02-2019,52.75
11-02-2019,52.43
12-02-2019,53.14
13-02-2019,53.84
14-02-2019,54.4
15-02-2019,55.58
19-02-2019,56.12
20-02-2019,56.9
21-02-2019,56.95
22-02-2019,57.01
25-02-2019,55.32
26-02-2019,55.4
27-02-2019,56.92
28-02-2019,57.21
01-03-2019,55.76
04-03-2019,56.6
05-03-2019,56.55
06-03-2019,56.22
07-03-2019,56.6
08-03-2019,55.77
11-03-2019,56.79
12-03-2019,56.89
13-03-2019,58.27
14-03-2019,58.59
15-03-2019,58.51
18-03-2019,59.09
19-03-2019,59.12
20-03-2019,60.12
21-03-2019,59.98
22-03-2019,58.87
25-03-2019,58.71
26-03-2019,59.87
27-03-2019,59.39
28-03-2019,59.29
29-03-2019,60.19
01-04-2019,61.59
02-04-2019,62.53
03-04-2019,62.46
04-04-2019,62.12
05-04-2019,63.1
08-04-2019,64.37
09-04-2019,64.05
10-04-2019,64.62
11-04-2019,63.61
12-04-2019,63.86
15-04-2019,63.43
16-04-2019,64.01
17-04-2019,63.74
18-04-2019,64.02
22-04-2019,65.66
23-04-2019,66.24
24-04-2019,65.96
25-04-2019,65.23
26-04-2019,63.29
29-04-2019,63.39
30-04-2019,63.83
01-05-2019,63.55
02-05-2019,61.75
03-05-2019,61.98
06-05-2019,62.3
07-05-2019,61.41
08-05-2019,62.13
09-05-2019,61.58
10-05-2019,61.65
13-05-2019,60.97
14-05-2019,61.82
15-05-2019,62.03
16-05-2019,62.93
17-05-2019,62.77
20-05-2019,63.12
21-05-2019,63.02
22-05-2019,61.42
23-05-2019,57.65
24-05-2019,58.4
28-05-2019,58.91
29-05-2019,58.84
30-05-2019,56.47
31-05-2019,53.49
03-06-2019,53.25
04-06-2019,53.5
05-06-2019,51.57
06-06-2019,52.59
07-06-2019,53.95
10-06-2019,53.33
11-06-2019,53.3
12-06-2019,51.13
13-06-2019,52.38
14-06-2019,52.47
17-06-2019,51.94
18-06-2019,53.86
19-06-2019,53.74
20-06-2019,56.88
21-06-2019,57.35
24-06-2019,57.73
25-06-2019,57.63
26-06-2019,59.17
27-06-2019,59.18
28-06-2019,58.2
